"atg.t","atg.p","atg.invalid","atg.positive","atg","msd.t","msd.p","msd.invalid","msd.positive","msd","double_neg"
40.8,10973,0,0,20.91,27.76,10973,0,0,7.95,0
40.8,8594,0,0,21.28,27.76,8594,0,0,7.91,0
40.8,15561,0,0,20.38,27.76,15561,0,0,8.27,0
40.8,17455,0,0,20.3,27.76,17455,0,0,8.25,0
40.8,8859,0,0,20.38,27.76,8859,0,0,8.05,0
40.8,14727,0,0,20.9,27.76,14727,0,0,8.01,0
40.8,19710,0,0,20.8,27.76,19710,0,0,8.65,0
40.8,2142,0,0,18.09,27.76,2142,0,0,5.97,0
40.8,1204,0,0,20.18,27.76,1204,0,0,7.75,0
40.8,19347,0,0,22.11,27.76,19347,0,0,8.15,0
40.8,24178,0,0,19.63,27.76,24178,0,0,7.28,0
40.8,16461,0,0,20.94,27.76,16461,0,0,8.68,0
40.8,7278,0,0,19.6,27.76,7278,0,0,6.43,0
40.8,2007,0,0,20.18,27.76,2007,0,0,7.93,0
40.8,888,0,0,19.62,27.76,888,0,0,7.59,0
40.8,2421,0,0,18.59,27.76,2421,0,0,6.12,0
40.8,24397,0,0,20.97,27.76,24397,0,0,8.65,0
40.8,2736,0,0,18.79,27.76,2736,0,0,7.86,0
40.8,23010,0,0,20.48,27.76,23010,0,0,8.84,0
40.8,9703,0,0,20.85,27.76,9703,0,0,7.89,0
40.8,9078,0,0,21.13,27.76,9078,0,0,8.08,0
40.8,16148,0,0,21.83,27.76,16148,0,0,8.31,0
40.8,2451,0,0,18.4,27.76,2451,0,0,7.89,0
40.8,5367,0,0,19.11,27.76,5367,0,0,8.03,0
40.8,14975,0,0,19.91,27.76,14975,0,0,8.65,0
40.8,17367,0,0,20.23,27.76,17367,0,0,6.56,0
40.8,3503,0,0,18.38,27.76,3503,0,0,6.29,0
40.8,12220,0,0,18.88,27.76,12220,0,0,6.47,0
40.8,11891,0,0,19.74,27.76,11891,0,0,8.31,0
40.8,17110,0,0,19.32,27.76,17110,0,0,6.89,0
40.8,17914,0,0,18.79,27.76,17914,0,0,6.54,0
40.8,17096,0,0,19.91,27.76,17096,0,0,6.52,0
40.8,1611,0,0,18.06,27.76,1611,0,0,6.44,0
40.8,13674,0,0,20.79,27.76,13674,0,0,8.23,0
40.8,2913,0,0,18.99,27.76,2913,0,0,7.74,0
40.8,2021,0,0,19.86,27.76,2021,0,0,7.75,0
40.8,9252,0,0,20.08,27.76,9252,0,0,8.2,0
40.8,9531,0,0,19.84,27.76,9531,0,0,8.32,0
40.8,13010,0,0,20.37,27.76,13010,0,0,6.4,0
40.8,5567,0,0,19.23,27.76,5567,0,0,8.14,0
40.8,25808,0,0,19.27,27.76,25808,0,0,6.85,0
40.8,11894,0,0,19.1,27.76,11894,0,0,8.31,0
40.8,11905,0,0,19.75,27.76,11905,0,0,6.81,0
40.8,6509,0,0,17.59,27.76,6509,0,0,6.71,0
40.8,1250,0,0,20.61,27.76,1250,0,0,7.96,0
40.8,12078,0,0,21.39,27.76,12078,0,0,8.1,0
40.8,12854,0,0,21.82,27.76,12854,0,0,7.96,0
40.8,6119,0,0,20.08,27.76,6119,0,0,8.47,0
40.8,7106,0,0,19.86,27.76,7106,0,0,7.83,0
40.8,8600,0,0,21.77,27.76,8600,0,0,8.05,0
40.8,21456,0,0,19.47,27.76,21456,0,0,7.24,0
40.8,9693,0,0,20.44,27.76,9693,0,0,8.16,0
40.8,7194,0,0,19.88,27.76,7194,0,0,8.21,0
40.8,10730,0,0,19.86,27.76,10730,0,0,8.36,0
40.8,4131,0,0,19.15,27.76,4131,0,0,8.12,0
40.8,17801,0,0,21.51,27.76,17801,0,0,8.15,0
40.8,26075,0,0,19.2,27.76,26075,0,0,6.89,0
40.8,19405,0,0,22.71,27.76,19405,0,0,8.31,0
40.8,8949,0,0,18.02,27.76,8949,0,0,6.58,0
40.8,12190,0,0,19.37,27.76,12190,0,0,6.55,0
40.8,12643,0,0,19.41,27.76,12643,0,0,8.38,0
40.8,25699,0,0,20.78,27.76,25699,0,0,8.87,0
40.8,4875,0,0,18.37,27.76,4875,0,0,6.52,0
40.8,19565,0,0,19.23,27.76,19565,0,0,7.12,0
40.8,24356,0,0,21.33,27.76,24356,0,0,8.68,0
40.8,25940,0,0,21.77,27.76,25940,0,0,8.45,0
40.8,4924,0,0,19.72,27.76,4924,0,0,7.95,0
40.8,14120,0,0,19.15,27.76,14120,0,0,6.7,0
40.8,20390,0,0,19.06,27.76,20390,0,0,6.36,0
40.8,9254,0,0,19.11,27.76,9254,0,0,8.19,0
40.8,21690,0,0,19.53,27.76,21690,0,0,8.87,0
40.8,4257,0,0,19.8,27.76,4257,0,0,7.82,0
40.8,5125,0,0,18.87,27.76,5125,0,0,6.61,0
40.8,22865,0,0,20.61,27.76,22865,0,0,8.54,0
40.8,18123,0,0,21.06,27.76,18123,0,0,8.19,0
40.8,22029,0,0,18.72,27.76,22029,0,0,6.68,0
40.8,20311,0,0,21.23,27.76,20311,0,0,8.1,0
40.8,10125,0,0,19.51,27.76,10125,0,0,8.23,0
40.8,23770,0,0,21.55,27.76,23770,0,0,8.45,0
40.8,23833,0,0,20.86,27.76,23833,0,0,8.65,0
40.8,25572,0,0,21.15,27.76,25572,0,0,9.08,0
40.8,4773,0,0,20.63,27.76,4773,0,0,7.57,0
40.8,1844,0,0,19.15,27.76,1844,0,0,6.07,0
40.8,8866,0,0,20.98,27.76,8866,0,0,8.52,0
40.8,24676,0,0,19.2,27.76,24676,0,0,8.14,0
40.8,2536,0,0,19.53,27.76,2536,0,0,7.9,0
40.8,12422,0,0,20.78,27.76,12422,0,0,8.29,0
40.8,20810,0,0,20.62,27.76,20810,0,0,8.67,0
40.8,1430,0,0,19.61,27.76,1430,0,0,8.08,0
40.8,5815,0,0,21.07,27.76,5815,0,0,8.07,0
40.8,10970,0,0,20.86,27.76,10970,0,0,8.37,0
40.8,20455,0,0,21.63,27.76,20455,0,0,8.11,0
40.8,3692,0,0,21.07,27.76,3692,0,0,7.91,0
40.8,22090,0,0,20.52,27.76,22090,0,0,8.51,0
40.8,13277,0,0,20.26,27.76,13277,0,0,6.48,0
40.8,22654,0,0,21.63,27.76,22654,0,0,8.14,0
40.8,7300,0,0,18.76,27.76,7300,0,0,6.26,0
40.8,11128,0,0,19.23,27.76,11128,0,0,6.59,0
40.8,5901,0,0,19.29,27.76,5901,0,0,7.8,0
40.8,22196,0,0,21.99,27.76,22196,0,0,8.66,0
40.8,25647,0,0,21.92,27.76,25647,0,0,8.89,0
40.8,8637,0,0,18.02,27.76,8637,0,0,6.63,0
40.8,7645,0,0,19.6,27.76,7645,0,0,8.22,0
40.8,12821,0,0,21.08,27.76,12821,0,0,8.12,0
40.8,12874,0,0,21,27.76,12874,0,0,8.31,0
40.8,25861,0,0,20.53,27.76,25861,0,0,8.8,0
40.8,8651,0,0,20.48,27.76,8651,0,0,6.63,0
40.8,8003,0,0,20.63,27.76,8003,0,0,7.98,0
40.8,3509,0,0,18.09,27.76,3509,0,0,6.12,0
40.8,17219,0,0,21.6,27.76,17219,0,0,9.64,0
40.8,19312,0,0,18.31,27.76,19312,0,0,6.53,0
40.8,17165,0,0,20.68,27.76,17165,0,0,8.46,0
40.8,10586,0,0,19.23,27.76,10586,0,0,6.38,0
40.8,11289,0,0,21.39,27.76,11289,0,0,8.53,0
40.8,4448,0,0,21.13,27.76,4448,0,0,8.1,0
40.8,3127,0,0,19.2,27.76,3127,0,0,8.33,0
40.8,915,0,0,20.68,27.76,915,0,0,7.87,0
40.8,17265,0,0,20.45,27.76,17265,0,0,8.27,0
40.8,24090,0,0,21.89,27.76,24090,0,0,8.96,0
40.8,22590,0,0,20.07,27.76,22590,0,0,8.99,0
40.8,10265,0,0,19.36,27.76,10265,0,0,8.33,0
40.8,18578,0,0,22.52,27.76,18578,0,0,8.43,0
40.8,20389,0,0,18.48,27.76,20389,0,0,6.87,0
40.8,4238,0,0,20.89,27.76,4238,0,0,7.84,0
40.8,18094,0,0,21.46,27.76,18094,0,0,8.84,0
40.8,25830,0,0,18.79,27.76,25830,0,0,7.19,0
40.8,18197,0,0,19.78,27.76,18197,0,0,6.25,0
40.8,20524,0,0,20.99,27.76,20524,0,0,8.52,0
40.8,6552,0,0,19.76,27.76,6552,0,0,7.74,0
40.8,16014,0,0,19.35,27.76,16014,0,0,6.64,0
40.8,12690,0,0,21.1,27.76,12690,0,0,8.32,0
40.8,15782,0,0,19.54,27.76,15782,0,0,8.38,0
40.8,11613,0,0,20.8,27.76,11613,0,0,7.98,0
40.8,5938,0,0,18.52,27.76,5938,0,0,6.7,0
40.8,14584,0,0,21.76,27.76,14584,0,0,8.15,0
40.8,15625,0,0,20.43,27.76,15625,0,0,8.51,0
40.8,7700,0,0,21.35,27.76,7700,0,0,7.59,0
40.8,18357,0,0,20.77,27.76,18357,0,0,8.63,0
40.8,22867,0,0,21.23,27.76,22867,0,0,8.42,0
40.8,20825,0,0,21.46,27.76,20825,0,0,8.26,0
40.8,9955,0,0,20.84,27.76,9955,0,0,8.29,0
40.8,25387,0,0,22.22,27.76,25387,0,0,8.97,0
40.8,24081,0,0,21.82,27.76,24081,0,0,8.59,0
40.8,5435,0,0,17.5,27.76,5435,0,0,6.73,0
40.8,25298,0,0,20.24,27.76,25298,0,0,8.42,0
40.8,8657,0,0,19.86,27.76,8657,0,0,6.82,0
40.8,16772,0,0,20.65,27.76,16772,0,0,7.87,0
40.8,17756,0,0,21.81,27.76,17756,0,0,8.55,0
40.8,8268,0,0,20.77,27.76,8268,0,0,8.19,0
40.8,303,0,0,19.1,27.76,303,0,0,7.86,0
40.8,6447,0,0,19.59,27.76,6447,0,0,7.75,0
40.8,3175,0,0,20.42,27.76,3175,0,0,7.95,0
40.8,24985,0,0,19.14,27.76,24985,0,0,6.99,0
40.8,6486,0,0,18.73,27.76,6486,0,0,6.4,0
40.8,4852,0,0,19.21,27.76,4852,0,0,6.35,0
40.8,24340,0,0,21.18,27.76,24340,0,0,8.23,0
40.8,5265,0,0,19.97,27.76,5265,0,0,7.86,0
40.8,8509,0,0,22.05,27.76,8509,0,0,8.63,0
40.8,21872,0,0,21.27,27.76,21872,0,0,8.39,0
40.8,11928,0,0,19.41,27.76,11928,0,0,6.54,0
40.8,19050,0,0,20.24,27.76,19050,0,0,8.59,0
40.8,2346,0,0,19.87,27.76,2346,0,0,7.68,0
40.8,23408,0,0,20.74,27.76,23408,0,0,8.66,0
40.8,15976,0,0,19.76,27.76,15976,0,0,8.35,0
40.8,13367,0,0,21.15,27.76,13367,0,0,8.35,0
40.8,24043,0,0,22.6,27.76,24043,0,0,8.37,0
40.8,25168,0,0,21.94,27.76,25168,0,0,9.21,0
40.8,17085,0,0,19.99,27.76,17085,0,0,6.83,0
40.8,20388,0,0,18.45,27.76,20388,0,0,6.92,0
40.8,25179,0,0,21.45,27.76,25179,0,0,8.7,0
40.8,21516,0,0,20.37,27.76,21516,0,0,8.2,0
40.8,20116,0,0,18.81,27.76,20116,0,0,6.43,0
40.8,21858,0,0,21.34,27.76,21858,0,0,8.43,0
40.8,9814,0,0,19.95,27.76,9814,0,0,7.67,0
40.8,1147,0,0,18.42,27.76,1147,0,0,7.77,0
40.8,13818,0,0,19.61,27.76,13818,0,0,6.35,0
40.8,22092,0,0,20.19,27.76,22092,0,0,8.61,0
40.8,18741,0,0,20.05,27.76,18741,0,0,6.76,0
40.8,11565,0,0,21.2,27.76,11565,0,0,8.21,0
40.8,20216,0,0,22.03,27.76,20216,0,0,8.19,0
40.8,20582,0,0,20.92,27.76,20582,0,0,8.33,0
40.8,16894,0,0,20.99,27.76,16894,0,0,8.67,0
40.8,6768,0,0,19.83,27.76,6768,0,0,6.11,0
40.8,2982,0,0,17.97,27.76,2982,0,0,6.83,0
40.8,20065,0,0,19.22,27.76,20065,0,0,6.92,0
40.8,5957,0,0,19.03,27.76,5957,0,0,6.74,0
40.8,10105,0,0,20.32,27.76,10105,0,0,8.41,0
40.8,5196,0,0,19.59,27.76,5196,0,0,7.94,0
40.8,22127,0,0,22.22,27.76,22127,0,0,8.14,0
40.8,6867,0,0,19.92,27.76,6867,0,0,8.15,0
40.8,3508,0,0,18.49,27.76,3508,0,0,6.25,0
